,scientific,common
4854,N=Canis mesomelas elongae,C=Eastern African black-backed jackal
4855,N=Canis mesomelas,C=Black-backed jackal
4856,N=Candida maltosa (strain Xu316),C=Yeast
4857,N=Candida norvegensis,C=Yeast
4858,N=Candida orthopsilosis (strain 90-125),C=Yeast
4859,N=Cananga odorata,C=Ylang-ylang tree
4860,N=Candida oleophila,C=Yeast
4861,N=Candida parapsilosis,C=Yeast
4862,N=Candida parapsilosis (strain CDC 317 / ATCC MYA-4646),C=Yeast
4863,N=Cancer pagurus,C=Rock crab
4864,N=Cancer productus,C=Red rock crab
4865,N=Canis rufus,C=Red wolf
4866,N=Canavalia rosea,C=Beach bean
4867,N=Cantharidus roseus,C=Sea snail
4868,N=Candida sp. (strain HA167),C=Yeast
4869,N=Cannabis sativa,C=Hemp
4870,N=Canis simensis,C=Ethiopian wolf
4871,N=Canalohypopterygium tamariscinum,C=Moss
4872,N=Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70),C=Yeast
4873,N=Candida tenuis,C=Yeast
4874,N=Candida tropicalis,C=Yeast
4875,N=Candida tsukubaensis,C=Yeast
4876,N=Candida tropicalis (strain ATCC MYA-3404 / T1),C=Yeast
4877,N=Canthigaster valentini,C=Valentin's sharpnose puffer
4878,N=Canella winterana,C=Wild cinnamon
4879,N=Capsicum annuum var. annuum,C=Red pepper
4880,N=Capsicum annuum,C=Capsicum pepper
4881,N=Capsicum baccatum,C=Peruvian pepper
4882,N=Capsella bursa-pastoris,C=Shepherd's purse
4883,N=Capreolus capreolus,C=European roe deer
4884,N=Capnocytophaga canimorsus (strain 5),unknown
4885,N=Capsicum chinense,C=Scotch bonnet
4886,N=Capricornis crispus,C=Japanese serow
4887,N=Capra caucasica,C=West Caucasian tur
4888,N=Capra cylindricornis,C=East Caucasian tur
4889,N=Capra falconeri,C=Markhor
4890,N=Capparidastrum frondosum,unknown
4891,N=Capsicum frutescens,C=Cayenne pepper
4892,N=Capnocytophaga granulosa (strain ATCC 51502 / DSM 11449 / JCM 8566 / LMG 16022 / NCTC 12948 / B0611),unknown
4893,N=Capnocytophaga gingivalis,unknown
4894,N=Capnia gracilaria,C=Slender snowfly
4895,N=Capra hircus aegagrus,C=Wild goat
4896,N=Capra hircus,C=Goat
4897,N=Capra ibex,C=Ibex
4898,N=Capra ibex ibex,C=Alpine ibex
4899,N=Capparis masaikai,C=Mabinlang
4900,N=Capitulum mitella,C=Stalked barnacle
4901,N=Caperea marginata,C=Pigmy right whale
4902,N=Capra nubiana,C=Nubian ibex
4903,N=Capsaspora owczarzaki (strain ATCC 30864),unknown
4904,N=Capnocytophaga ochracea,unknown
4905,N=Capnocytophaga ochracea (strain ATCC 27872 / DSM 7271 / JCM 12966 / NCTC 12371 / VPI 2845),unknown
4906,N=Capromys pilorides,C=Desmarest's hutia
4907,N=Capreolus pygargus,C=Eastern roe deer
4908,N=Capensibufo rosei,C=Rose's mountain toad
4909,N=Capnoides sempervirens,C=Rock-harlequin
4910,N=Capra sibirica,C=Siberian ibex
4911,N=Capparis spinosa,C=Caper
4912,N=Capnocytophaga sputigena,unknown
4913,N=Capricornis sumatraensis,C=Sumatran serow
4914,N=Capricornis swinhoei,C=Taiwan serow
4915,N=Capitella teleta,C=Polychaete worm
4916,N=Caquetaia kraussii,C=Krauss' basketmouth cichlid
4917,N=Carales astur,C=Cramer's leopard moth
4918,N=Caragana arborescens,C=Siberian pea tree
4919,N=Caracal caracal,C=Caracal
4920,N=Carcinus aestuarii,C=Green crab
4921,N=Carex atrofusca,C=Darkbrown sedge
4922,N=Cardamine angustata,C=Slender toothwort
4923,N=Carcharhinus altimus,C=Bignose shark
4924,N=Carlia ailanpalai,C=Skink
4925,N=Carybdea alata,C=Hawaiian box jellyfish
4926,N=Carangoides armatus,C=Longfin trevally
4927,N=Cardamine amara,C=Large bitter-cress
4928,N=Carabus auronitens,C=Golden ground beetle
4929,N=Carabus arvensis,C=Ground beetle
4930,N=Carcharhinus acronotus,C=Blacknose shark
4931,N=Caridina acutirostris,C=Freshwater shrimp
4932,N=Carassius auratus,C=Goldfish
4933,N=Carassius carassius,C=Crucian carp
4934,N=Carcharhinus amblyrhynchoides,C=Graceful shark
4935,N=Carangoides bartholomaei,C=Yellow jack
4936,N=Cardamine bulbifera,C=Coralroot bittercress
4937,N=Carcharhinus brachyurus,C=Copper shark
4938,N=Carpinus betulus,C=European hornbeam
4939,N=Carcharhinus brevipinna,C=Spinner shark
4940,N=Cardamine bellidifolia,C=Alpine bitter-cress
4941,N=Carukia barnesi,C=Irukandji jellyfish
4942,N=Carollia brevicauda,C=Silky short-tailed bat
4943,N=Cardamine bulbosa,C=Bulbous bitter-cress
4944,N=Carex brevicaulis,C=Shortstem sedge
4945,N=Cardamine breweri,C=Brewer's bitter-cress
4946,N=Carpiodes carpio,C=River carpsucker
4947,N=Carios capensis,C=Seabird soft tick
4948,N=Carpiodes cyprinus,C=Quillback carpsucker
4949,N=Cardisoma carnifex,C=Blue land crab
4950,N=Carum carvi,C=Caraway
4951,N=Carabus cancellatus,C=Ground beetle
4952,N=Cardinalis cardinalis,C=Northern cardinal
4953,N=Carollia castanea,C=Chestnut short-tailed bat
4954,N=Carteria cerasiformis,C=Green alga
4955,N=Carpenteria californica,C=Tree anemone
4956,N=Carcharodon carcharias,C=Great white shark
4957,N=Carabus coriaceus,C=Ground beetle
4958,N=Carduus carlinoides,C=Pyrenean thistle
4959,N=Carpinus cordata,C=Heartleaf hornbeam
4960,N=Carpobrotus chilensis,C=Sea fig
4961,N=Cardamine californica,C=Milk maids
4962,N=Cardellina canadensis,C=Canada warbler
4963,N=Carpinus caroliniana,C=American hornbeam
4964,N=Carex cephalophora,C=Oval-leaf sedge
4965,N=Cardioderma cor,C=Heart-nosed bat
4966,N=Caretta caretta,C=Loggerhead sea turtle
4967,N=Caranx crysos,C=Blue runner
4968,N=Cardamine concatenata,C=Cut-leaved toothwort
4969,N=Caranx caballus,C=Green jack
4970,N=Carabus convexus,C=Beetle
4971,N=Carassius cuvieri,C=Japanese white crucian carp
4972,N=Cardamine clematitis,C=Small mountain bitter-cress
4973,N=Carangoides chrysophrys,C=Longnose trevally
4974,N=Carphephorus corymbosus,C=Coastalplain chaffhead
4975,N=Cardamine diphylla,C=Crinkled toothwort
4976,N=Carex dimorpholepis,C=Sedge
4977,N=Carex dioica,C=Dioecious sedge
4978,N=Caripeta divisata,C=Gray spruce looper
4979,N=Carnobacterium divergens,unknown
4980,N=Caridina ensifera,C=Freshwater shrimp
4981,N=Carangoides equula,C=Whitefin trevally
4982,N=Carpodacus erythrinus,C=Common rosefinch
4983,N=Carcharhinus falciformis,C=Silky shark
4984,N=Cardamine flexuosa,C=Wavy bitter-cress
4985,N=Carpocoris fuscispinus,C=Shield bug
4986,N=Carlia fusca,C=Brown four-fingered skink
4987,N=Carassius gibelio,C=Prussian carp
4988,N=Carex geophila,C=White mountain sedge
4989,N=Carcinops gilensis,C=Hister beetle
4990,N=Carabus glabratus,C=Ground beetle
4991,N=Carex globosa,C=Roundfruit sedge
4992,N=Carabus granulatus,C=Ground beetle
4993,N=Carapa guianensis,C=Crabwood
4994,N=Cardiobacterium hominis (strain ATCC 15826 / DSM 8339 / NCTC 10426 / 6573),unknown
4995,N=Caranx hippos,C=Crevalle jack
4996,N=Cardamine hirsuta,C=Hairy bitter-cress
4997,N=Carabus hummeli,C=Ground beetle
4998,N=Carboxydothermus hydrogenoformans,unknown
4999,N=Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901),unknown
5000,N=Cariama cristata,C=Red-legged seriema
5001,N=Caranx ignobilis,C=Giant trevally
5002,N=Carya illinoinensis,C=Pecan
5003,N=Carettochelys insculpta,C=Pitted-shelled turtle
5004,N=Carex kiotensis,C=Sedge
5005,N=Carex laxiflora,C=Broad looseflower sedge
5006,N=Carpoglyphus lactis,C=Dried fruit mite
5007,N=Carcharhinus leucas,C=Bull shark
5008,N=Carassius langsdorfii,C=Japanese silver crucian carp
5009,N=Carcharhinus limbatus,C=Blacktip shark
5010,N=Carcharhinus longimanus,C=Oceanic whitetip shark
5011,N=Carabus lopatini,C=Ground beetle
5012,N=Caranx latus,C=Horse-eye jack
5013,N=Carphodactylus laevis,C=Chameleon gecko
5014,N=Carcinus maenas,C=Common shore crab
5015,N=Carcharhinus macloti,C=Hardnose shark
5016,N=Cardamine macrophylla,C=Bitter-cress
5017,N=Carpocoris mediterraneus,C=Shield bug
5018,N=Caryota mitis,C=Burmese fishtail palm
5019,N=Carnobacterium maltaromaticum,unknown
5020,N=Caranx melampygus,C=Bluefin trevally
5021,N=Carios mexicanus,C=Soft tick
5022,N=Carausius morosus,C=Indian stick insect
5023,N=Carcharhinus melanopterus,C=Blacktip reef shark
5024,N=Carangoides malabaricus,C=Malabar trevally
5025,N=Carnation mottle virus (isolate China/Shanghai),C=CarMV
5026,N=Carex metallica,C=Sedge
5027,N=Caracanthus maculatus,C=Spotted coral croucher
5028,N=Carnation mottle virus,C=CarMV
5029,N=Cardamine maxima,C=Large toothwort
5030,N=Cartodere nodifer,C=Swollen fungus beetle
5031,N=Carabus nemoralis,C=Ground beetle
5032,N=Carex nigra,C=Smooth black sedge
5033,N=Carabus nitens,C=Ground beetle
5034,N=Cardamine nipponica,C=Bitter-cress
5035,N=Carduus nutans,C=Musk thistle
5036,N=Carcharhinus obscurus,C=Dusky shark
5037,N=Carex oligocarpa,C=Richwoods sedge
5038,N=Carabus opaculus,unknown
5039,N=Carpinus orientalis,C=Oriental hornbeam
5040,N=Carangoides otrynter,C=Threadfin jack
5041,N=Carex oxyandra,C=Sedge
5042,N=Carica papaya,C=Papaya
5043,N=Cardamine pentaphyllos,C=Bitter-cress
5044,N=Cartonema philydroides,C=Spiderwort
5045,N=Cardamine pensylvanica,C=Pennsylvania bitter-cress
5046,N=Caracara plancus,C=Southern caracara
5047,N=Cardellina pusilla,C=Wilson's warbler
5048,N=Carex phacota,C=Lakeshore sedge
5049,N=Carpocoris purpureipennis,C=Shield bug
5050,N=Carcharhinus plumbeus,C=Sandbar shark
5051,N=Carcinops pumilio,C=Hister beetle
5052,N=Carcharhinus porosus,C=Smalltail shark
5053,N=Carabus problematicus,C=Ground beetle
5054,N=Carollia perspicillata,C=Seba's short-tailed bat
5055,N=Cardamine pratensis,C=Cuckoo flower
5056,N=Carpodacus pulcherrimus,C=Beautiful rosefinch
5057,N=Carex pensylvanica,C=Pennsylvania sedge
5058,N=Carduus pycnocephalus,C=Italian thistle
5059,N=Carcharhinus perezii,C=Reef shark
5060,N=Carybdea rastonii,C=Box jellyfish
5061,N=Caranx ruber,C=Bar jack
5062,N=Carijoa riisei,C=Snowflake coral
5063,N=Carpococcyx renauldi,C=Coral-billed ground-cuckoo
5064,N=Cardellina rubrifrons,C=Red-faced warbler
5065,N=Caranx rhonchus,C=False scad
5066,N=Carex rossii,C=Ross' sedge
5067,N=Carlia rhomboidalis,C=Blue-throated rainbow-skink
5068,N=Carcinoscorpius rotundicauda,C=Mangrove horseshoe crab
5069,N=Carsonella ruddii (strain PV),unknown
5070,N=Carlia rubrigularis,C=Northern red-throated skink
5071,N=Carpodacus roseus,C=Pallas' rosefinch
5072,N=Carex rostrata,C=Beaked sedge
5073,N=Carsonella ruddii,unknown
5074,N=Carnobacterium sp. (strain 17-4),unknown
5075,N=Carposina sasakii,C=Peach fruit moth
5076,N=Caridina spinata,C=Gold spotted shrimp
5077,N=Cardiopharynx schoutedeni,C=Cichlid fish
5078,N=Carcharhinus sorrah,C=Spot-tail shark
5079,N=Caranx sexfasciatus,C=Bigeye trevally
5080,N=Carlito syrichta,C=Philippine tarsier
5081,N=Carex shimidzensis,C=Sedge
5082,N=Carex scirpoidea,C=Northern singlespike sedge
5083,N=Cardinalis sinuatus,C=Pyrrhuloxia
5084,N=Caridina spongicola,C=Celebes beauty shrimp
5085,N=Carpodacus sipahi,C=Scarlet finch
5086,N=Carex serpenticola,C=Serpentine sedge
5087,N=Caryedon serratus,C=Groundnut bruchid beetle
5088,N=Carnobacterium sp. (strain St2),unknown
5089,N=Carollia subrufa,C=Gray short-tailed bat
5090,N=Carabus sylvestris,C=Beetle
5091,N=Carcharias taurus,C=Sand tiger shark
5092,N=Caranx tille,C=Tille trevally
5093,N=Carex thornei,C=Thorne's sedge
5094,N=Carthamus tinctorius,C=Safflower
5095,N=Carcharhinus tilstoni,C=Australian blacktip shark
5096,N=Carex tonsa,C=Shaved sedge
5097,N=Carboxydocella thermautotrophica,unknown
5098,N=Caridina typus,C=Freshwater shrimp
5099,N=Carnobacterium sp. (strain UI49),unknown
5100,N=Carex umbellata,C=Parasol sedge
5101,N=Carex uncinata,C=Hook sedge
5102,N=Caranx vinctus,C=Cocinero
5103,N=Carex vulpinoidea,C=Brown fox sedge
5104,N=Carabus violaceus,C=Violet ground beetle
5105,N=Carlina vulgaris,C=Carline thistle
5106,N=Cardamine waldsteinii,C=Bitter-cress
5107,N=Carrhotus xanthogramma,C=Jumpimg spider
5108,N=Carex xerantica,C=Whitescale sedge
5109,N=Caridina zebra,C=Freshwater shrimp
5110,N=Cassiopea andromeda,C=Upside-down jellyfish
5111,N=Casuarius bennetti,C=Dwarf cassowary
5112,N=Casuarius casuarius,C=Southern cassowary
5113,N=Castanopsis chinensis,C=Chinese evergreen chinquapin
5114,N=Castor canadensis,C=American beaver
5115,N=Castanea crenata,C=Japanese chestnut
5116,N=Castellaniella defragrans,unknown
5117,N=Casarea dussumieri,C=Round Island keel-scaled boa
5118,N=Casimiroa edulis,C=White sapote
5119,N=Casuarina equisetifolia,C=Beach she-oak
5120,N=Castor fiber,C=Eurasian beaver
5121,N=Cassiopea frondosa,C=Upsidedown jellyfish
5122,N=Cassia fistula,C=Golden shower tree
5123,N=Casuarina glauca,C=Swamp oak
5124,N=Cassia leiandra,C=Marimari
5125,N=Castilleja linariifolia,C=Wyoming Indian paintbrush
5126,N=Cassiope lycopodioides,C=Clubmoss mountain heather
5127,N=Cassiope mertensiana,C=Western moss heather
5128,N=Castrica phalaenoides,C=Moth
5129,N=Cassida rubiginosa,C=Green tortoise beetle
5130,N=Castanea sativa,C=Sweet chestnut
5131,N=Castilleja sulphurea,C=Sulphur Indian paintbrush
5132,N=Cassiopea xamachana,C=Mangrove upside-down jellyfish
5133,N=Catenulispora acidiphila (strain DSM 44928 / JCM 14897 / NBRC 102108 / NRRL B-24433 / ID139908),unknown
5134,N=Catocala andromedae,C=Gloomy underwing moth
5135,N=Cathaya argyrophylla,C=Cathay silver fir
5136,N=Catharacta antarctica,C=Brown skua
5137,N=Cathartes aura,C=Turkey vulture
5138,N=Catopuma badia,C=Bay cat
5139,N=Catharus bicknelli,C=Bicknell's thrush
5140,N=Catostomus bernardini,C=Yaqui sucker
5141,N=Catalpa bignonioides,C=Southern catalpa
5142,N=Cataglyphis bombycina,C=Saharan silver ant
5143,N=Catharopeza bishopi,C=Whistling warbler
5144,N=Catocala butleri,C=Moth
5145,N=Catharomnion ciliatum,C=Moss
5146,N=Catostomus clarkii,C=Desert sucker
5147,N=Catostomus commersonii,C=White sucker
5148,N=Cattleya dowiana,C=Orchid
5149,N=Catasetum expansum,C=Orchid
5150,N=Catharus frantzii,C=Ruddy-capped nightingale-thrush
5151,N=Catharus fuscescens,C=Veery
5152,N=Cattleya guttata,C=Orchid
5153,N=Catharus guttatus,C=Hermit thrush
5154,N=Catacanthus incarnatus,C=Man-faced stink bug
5155,N=Cattleya lueddemanniana,C=Lueddemann's cattleya
5156,N=Catherpes mexicanus,C=Canyon wren
5157,N=Catharus minimus,C=Gray-cheeked thrush
5158,N=Catostylus mosaicus,C=Blue blubber jellyfish
5159,N=Catenibacterium mitsuokai (strain DSM 15897 / JCM 10609 / CIP 106738 / RCA14-39),unknown
5160,N=Catocala nupta,C=Red underwing moth
5161,N=Catostomus plebeius,C=Rio Grande sucker
5162,N=Catomerus polymerus,C=Surf barnacle
5163,N=Catharanthus roseus,C=Madagascar periwinkle
5164,N=Cataetyx rubrirostris,C=Rubynose brotula
5165,N=Catalpa speciosa,C=Northern catalpa
5166,N=Catharacta skua,C=Great skua
5167,N=Catesbaea spinosa,unknown
5168,N=Catocala ultronia,C=Ultronia underwing moth
5169,N=Catharus ustulatus,C=Russet-backed thrush
5170,N=Catreus wallichii,C=Cheer pheasant
5171,N=Causus defilippii,C=Snouted night adder
5172,N=Caulanthus flavescens,C=Yellow mustard
5173,N=Caulastraea furcata,C=Candy cane coral
5174,N=Caulophryne jordani,C=Fanfin angler
5175,N=Caulanthus lasiophyllus,C=California mustard
5176,N=Caulophryne pelagica,C=Fanfin anglerfish
5177,N=Caulerpa racemosa,C=Green alga
5178,N=Causus rhombeatus,C=Rhombic night adder
5179,N=Caulobacter sp. (strain K31),unknown
5180,N=Caulobacter sp. (strain RHG1),unknown
5181,N=Caulobacter segnis (strain ATCC 21756 / DSM 7131 / JCM 7823 / NBRC 15250 / LMG 17158 / TK0059),unknown
5182,N=Caulerpa taxifolia,C=Killer algae
5183,N=Caulophyllum thalictroides,C=Blue cohosh
5184,N=Caulobacter vibrioides (strain ATCC 19089 / CB15),unknown
5185,N=Caulobacter vibrioides,unknown
5186,N=Caulobacter vibrioides (strain NA1000 / CB15N),unknown
5187,N=Chicken anemia virus (isolate USA 26p4),C=CAV
5188,N=Chicken anemia virus (isolate Japan 82-2),C=CAV
5189,N=Cavia aperea,C=Brazilian guinea pig
5190,N=Chicken anemia virus (isolate Australia),C=CAV
5191,N=Chicken anemia virus (isolate Germany Cuxhaven-1),C=CAV
5192,N=Chicken anemia virus (isolate Australia/CAU269-7/2000),C=CAV
5193,N=Chicken anemia virus (isolate USA CIA-1),C=CAV
5194,N=Cavia cutleri,C=Guinea pig
5195,N=Cavenderia fasciculata (strain SH3),C=Slime mold
5196,N=Cavia porcellus,C=Guinea pig
5197,N=Cavia tschudii,C=Montane guinea pig
5198,N=Cacao yellow mosaic virus,unknown
5199,N=Clostridium botulinum C phage,unknown
5200,N=Clostridium botulinum D phage,unknown
5201,N=Choristoneura biennis entomopoxvirus,C=CbEPV
5202,N=Chrysochromulina brevifilum virus PW1,C=CbV-PW1
5203,N=Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970),C=CCHFV
5204,N=Crimean-Congo hemorrhagic fever virus (isolate C68031),C=CCHFV
5205,N=Cowpea chlorotic mottle virus,C=CCMV
5206,N=Chaetoceros diatodnavirus 1,unknown
5207,N=Canine distemper virus (strain A92-27/4),C=CDV
5208,N=Canine distemper virus (strain A92-6),C=CDV
5209,N=Canine distemper virus (strain Convac vaccine),C=CDV
5210,N=Canine distemper virus (strain Onderstepoort),C=CDV
5211,N=Ceanothus crassifolius,C=Hoary-leaved lilac
5212,N=Ceanothus thyrsiflorus,C=Blue blossom
5213,N=Ceanothus tomentosus,C=Ramona lilac
5214,N=Ceanothus verrucosus,C=Wart-stemmed lilac
5215,N=Cebus albifrons,C=White-fronted capuchin
5216,N=Cebus capucinus,C=White-faced sapajou
5217,N=Cebus imitator,C=Panamanian white-faced capuchin
5218,N=Cebus kaapori,C=Ka'apor capuchin
5219,N=Cebus olivaceus,C=Weeper capuchin
5220,N=Cebuella pygmaea,C=Pygmy marmoset
5221,N=Cedrus atlantica,C=Atlas cedar
5222,N=Cedrus deodara,C=Deodar cedar
5223,N=Ceiba acuminata,C=Silk cotton tree
5224,N=Ceiba pentandra,C=Kapok tree
5225,N=Cellulophaga algicola (strain DSM 14237 / IC166 / ACAM 630),unknown
5226,N=Celastrina argiolus,C=Holly blue butterfly
5227,N=Celosia argentea,C=Silver cock's comb
5228,N=Celatoblatta sp. (strain Blue Mountains),C=Cockroach
5229,N=Cellulosimicrobium cellulans,unknown
5230,N=Celeus elegans,C=Chestnut woodpecker
5231,N=Celithemis elisa,C=Calico pennant dragonfly
5232,N=Celestus enneagrammus,C=Huaxteca lesser galliwasp
5233,N=Cellana exarata,C=Hawaiian blackfoot limpet
5234,N=Cellulomonas fimi (strain ATCC 484 / DSM 20113 / JCM 1341 / NBRC 15513 / NCIMB 8980 / NCTC 7547),unknown
5235,N=Cellulomonas fimi,unknown
5236,N=Cellana flava,C=Limpet
5237,N=Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),unknown
5238,N=Celeus flavus,C=Cream-colored woodpecker
5239,N=Cellulomonas gilvus (strain ATCC 13127 / NRRL B-14078),unknown
5240,N=Celeus grammicus,C=Scaly-breasted woodpecker
5241,N=Cellana grata,C=Limpet
5242,N=Celastrina hersilia,C=Azure butterfly
5243,N=Cellvibrio japonicus,unknown
5244,N=Cellvibrio japonicus (strain Ueda107),unknown
5245,N=Celastrina ladon,C=Spring azure
5246,N=Cellulophaga lytica (strain ATCC 23178 / DSM 7489 / JCM 8516 / NBRC 14961 / NCIMB 1423 / VKM B-1433 / Cy l20),unknown
5247,N=Cellulosilyticum lentocellum (strain ATCC 49066 / DSM 5427 / NCIMB 11756 / RHM5),unknown
5248,N=Cellulophaga lytica,unknown
5249,N=Celastrina neglecta,C=Summer azure butterfly
5250,N=Cellana ornata,C=Ornate limpet
5251,N=Celastrus orbiculatus,C=Oriental bittersweet
5252,N=Celtis philippensis,C=Da guo you po
5253,N=Cellana radians,C=Radiate limpet
5254,N=Celastrus scandens,C=American bittersweet
5255,N=Cellulomonas sp.,unknown
5256,N=Cellulomonas uda,unknown
5257,N=Celestus warreni,C=Giant Hispaniolan galliwasp
5258,N=Cemophora coccinea,C=Scarlet snake
5259,N=Cenchrus americanus,C=Pearl millet
5260,N=Centropomus armatus,C=Armed snook
5261,N=Centropyge aurantia,C=Golden angelfish
5262,N=Centruroides baergi,C=Scorpion
5263,N=Centruroides bicolor,C=Scorpion
5264,N=Centaurea benedicta,C=Blessed thistle
5265,N=Centropyge bicolor,C=Bicolor angelfish
5266,N=Centronyx bairdii,C=Baird's sparrow
5267,N=Centropyge bispinosa,C=Twospined angelfish
5268,N=Centaurea calcitrapa,C=Purple starthistle
5269,N=Cenchrus ciliaris,C=Buffelgrass
5270,N=Centropus cupreicaudus,C=Coppery-tailed coucal
5271,N=Centaurea cyanus,C=Garden cornflower
5272,N=Centroberyx druzhinini,C=Flathead alfonsino
5273,N=Centropyge eibli,C=Blacktail angelfish
5274,N=Centruroides elegans,C=Bark scorpion
5275,N=Centropomus ensiferus,C=Swordspine snook
5276,N=Centaurium erythraea,C=European centaury
5277,N=Centromochlus existimatus,C=Amazonian driftwood catfish
5278,N=Centruroides exilicauda,C=Bark scorpion
5279,N=Centropyge flavissima,C=Lemonpeel angelfish
5280,N=Centropyge ferrugata,C=Rusty angelfish
5281,N=Centropyge flavicauda,C=Whitetail angelfish
5282,N=Centruroides gracilis,C=Slenderbrown scorpion
5283,N=Centronyx henslowii,C=Henslow's sparrow
5284,N=Centruroides huichol,C=Scorpion
5285,N=Centruroides infamatus,C=Kock scorpion
5286,N=Centruroides limpidus,C=Mexican scorpion
5287,N=Centruroides limbatus,C=Bark scorpion
5288,N=Centropyge loriculus,C=Flame angelfish
5289,N=Centruroides margaritatus,C=Central American bark Scorpion
5290,N=Centropomus medius,C=Blackfin snook
5291,N=Centrolobium microchaete,C=Canarywood tree
5292,N=Centropyge multifasciata,C=Barred angelfish
5293,N=Cenchritis muricatus,C=Beaded periwinkle
5294,N=Centropyge multispinis,C=Dusky angelfish
5295,N=Centaurea nigra,C=Black knapweed
5296,N=Centruroides noxius,C=Mexican scorpion
5297,N=Centropyge nox,C=Midnight angelfish
5298,N=Centruroides ornatus,C=Scorpion
5299,N=Centropyge potteri,C=Potter's angelfish
5300,N=Centaurium pulchellum,C=Lesser centaury
5301,N=Centranthus ruber,C=Red valerian
5302,N=Centruroides sculpturatus,C=Arizona bark scorpion
5303,N=Centurio senex,C=Lattice-winged bat
5304,N=Centropus sinensis,C=Greater coucal
5305,N=Centrochelys sulcata,C=African spurred tortoise
5306,N=Cenarchaeum symbiosum,unknown
5307,N=Centropristis striata,C=Black sea bass
5308,N=Centaurea stoebe,C=Spotted knapweed
5309,N=Centruroides suffusus,C=Durango bark scorpion
5310,N=Cenarchaeum symbiosum (strain A),unknown
5311,N=Centruroides tecomanus,C=Scorpion
5312,N=Centropyge tibicen,C=Keyhole angelfish
5313,N=Centrolobium tomentosum,C=Arariba
5314,N=Centropages typicus,C=Copepod
5315,N=Centrocercus urophasianus,C=Sage grouse
5316,N=Centropomus viridis,C=White snook
5317,N=Centropus viridis,C=Philippine coucal
5318,N=Centropyge vrolikii,C=Pearlscale angelfish
5319,N=Centruroides vittatus,C=Striped bark scorpion
5320,N=Cephalophus adersi,C=Aders' duiker
5321,N=Cephalopholis argus,C=Peacock hind
5322,N=Cephalopachus bancanus,C=Western tarsier
5323,N=Cephalopholis boenak,C=Chocolate hind
5324,N=Cephalophus callipygus,C=Peters's duiker
5325,N=Cephalota circumdata,C=Tiger beetle
5326,N=Cephalorhynchus commersonii,C=Commerson's dolphin
5327,N=Cephus cinctus,C=Wheat stem sawfly
5328,N=Cepphus columba,C=Pigeon guillemot
5329,N=Cepphus carbo,C=Spectacled guillemot
5330,N=Cephalophus dorsalis,C=Bay duiker
5331,N=Cephalorhynchus eutropia,C=Chilean dolphin
5332,N=Cephalotus follicularis,C=Albany pitcher plant
5333,N=Cephalotaxus fortunei,C=Chinese plum yew
5334,N=Cephalopholis fulva,C=Coney
5335,N=Cepphus grylle,C=Black guillemot
5336,N=Cephalorhynchus heavisidii,C=Heaviside's dolphin
5337,N=Cephalorhynchus hectori,C=Hector's dolphin
5338,N=Cephalophus harveyi,C=Harvey's red duiker
5339,N=Cephalotaxus harringtonia var. wilsoniana,C=Taiwan plum yew
5340,N=Cephonodes hylas,C=Coffee bee hawkmoth
5341,N=Cephalophus jentinki,C=Jentink's duiker
5342,N=Cephalophus leucogaster,C=White-bellied duiker
5343,N=Cephalopholis miniata,C=Coral hind
5344,N=Cephalophus natalensis,C=Red duiker
5345,N=Cepaea nemoralis,C=Banded wood snail
5346,N=Cephalophus nigrifrons,C=Black-fronted duiker
5347,N=Cephalophus niger,C=Black duiker
5348,N=Cephalanthus occidentalis,C=Common buttonbush
5349,N=Cephalophus ogilbyi,C=Ogilby's duiker
5350,N=Cephalotaxus oliveri,C=Oliver's plum yew
5351,N=Cephalopterus ornatus,C=Amazonian umbrellabird
5352,N=Cephalophus rufilatus,C=Red-flanked duiker
5353,N=Cephalophus rubidus,C=Ruwenzori duiker
5354,N=Cephalophus silvicultor,C=Yellow-backed duiker
5355,N=Cephalopholis sonnerati,C=Tomato hind
5356,N=Cephalophus spadix,C=Abbott's duiker
5357,N=Cephenemyia stimulator,C=Deer botfly
5358,N=Cephalopholis urodeta,C=Darkfin hind
5359,N=Cephalophus weynsi,C=Weyns' duiker
5360,N=Cephalophus zebra,C=Zebra duiker
5361,N=Cercopithecus ascanius schmidti,C=Schmidt's red-tailed monkey
5362,N=Cercocebus agilis,C=Agile mangabey
5363,N=Cercocebus atys lunulatus,C=White-crowned mangabey
5364,N=Certhia americana,C=American treecreeper
5365,N=Ceraclea annulicornis,C=Caddisfly
5366,N=Cercopithecus ascanius,C=Black-cheeked white-nosed monkey
5367,N=Cercocebus atys,C=Sooty mangabey
5368,N=Ceroctena amynta,C=Moth
5369,N=Cercaria batillariae,unknown
5370,N=Cerataulina bicornis,C=Diatom
5371,N=Cercocarpus betuloides,C=Mountain mahogany
5372,N=Cercospora beticola,C=Sugarbeet leaf spot fungus
5373,N=Ceratitis capitata,C=Mediterranean fruit fly
5374,N=Cercartetus concinnus,C=Western pygmy possum
